fname,label,length
5388d14d.wav,Saxophone,4.14
c685f05f.wav,Saxophone,1.54
36d20ab5.wav,Saxophone,4.3091875
d6665734.wav,Saxophone,9.96725
7352e28f.wav,Saxophone,6.2221875
8fa096bf.wav,Saxophone,3.7
2f9c5f62.wav,Saxophone,4.1546875
9cd05a2b.wav,Saxophone,15.1461875
ab465bf9.wav,Saxophone,15.3393125
c40632d7.wav,Saxophone,8.6208125
3a80061f.wav,Saxophone,6.819
dba6817d.wav,Saxophone,2.9040625
25f26095.wav,Saxophone,2.04
37cebbd4.wav,Saxophone,6.1288125
f8d96888.wav,Saxophone,6.75725
d94c94f0.wav,Saxophone,3.74
ec6afeb6.wav,Saxophone,11.8564375
5f0dc8e4.wav,Saxophone,3.96525
b8c0a88a.wav,Saxophone,4.170625
96dad435.wav,Saxophone,9.9268125
b120dc90.wav,Saxophone,3.74
c1948f24.wav,Saxophone,8.2623125
ac097834.wav,Saxophone,1.6205
4345851e.wav,Saxophone,10.969375
5d4f8187.wav,Saxophone,4.72325
b83049f4.wav,Saxophone,6.66
c1c3c8b9.wav,Saxophone,13.5469375
78a86075.wav,Saxophone,5.1508125
f0d315bc.wav,Saxophone,3.6416875
9c0838c1.wav,Saxophone,8.209625
d6144e01.wav,Violin_or_fiddle,1.4936875
cfb9c5fd.wav,Violin_or_fiddle,2.2106875
c6865306.wav,Violin_or_fiddle,17.08775
642aba58.wav,Violin_or_fiddle,0.2693125
848faca3.wav,Violin_or_fiddle,0.3524375
7eb9dac0.wav,Violin_or_fiddle,6.781625
8d7d7dba.wav,Violin_or_fiddle,5.7016875
2424ad60.wav,Violin_or_fiddle,3.747125
ba648ac1.wav,Violin_or_fiddle,0.2655
2e4a9850.wav,Violin_or_fiddle,0.2650625
2cc8683d.wav,Violin_or_fiddle,5.3209375
7b6a119e.wav,Violin_or_fiddle,1.2005
68589f79.wav,Violin_or_fiddle,2.448375
fec00143.wav,Violin_or_fiddle,6.28
1b24c166.wav,Violin_or_fiddle,2.1786875
6eb59008.wav,Violin_or_fiddle,0.9881875
0e7cd4eb.wav,Violin_or_fiddle,5.526
56e79c6f.wav,Violin_or_fiddle,15.269625
cdc5fe8e.wav,Violin_or_fiddle,0.671625
b38409bb.wav,Violin_or_fiddle,0.292625
c8c117dc.wav,Violin_or_fiddle,0.27675
b73c3595.wav,Violin_or_fiddle,1.9123125
d84c8c43.wav,Violin_or_fiddle,3.0261875
d914225a.wav,Violin_or_fiddle,2.920875
1148986e.wav,Violin_or_fiddle,0.459125
e3f479f3.wav,Violin_or_fiddle,13.3830625
aab28420.wav,Violin_or_fiddle,2.31275
21346775.wav,Violin_or_fiddle,0.341875
cdeece57.wav,Violin_or_fiddle,3.2915
c9fb642d.wav,Violin_or_fiddle,0.5731875
078f7ac0.wav,Hi-hat,1.3211875
e897db78.wav,Hi-hat,1.5429375
b31ed1fb.wav,Hi-hat,2.9555625
06c48eab.wav,Hi-hat,1.5445625
2503aaa1.wav,Hi-hat,1.6474375
3d3439f1.wav,Hi-hat,0.351
34a90030.wav,Hi-hat,1.0513125
da4b0379.wav,Hi-hat,0.231625
a090c45a.wav,Hi-hat,0.2795625
41897c32.wav,Hi-hat,0.5394375
2032be87.wav,Hi-hat,1.875625
73677128.wav,Hi-hat,1.3803125
c53a217e.wav,Hi-hat,1.1411875
f0dfe343.wav,Hi-hat,1.766875
0ed06544.wav,Hi-hat,1.413875
99c96a07.wav,Hi-hat,0.1444375
3a3d0279.wav,Hi-hat,0.2541875
612702c3.wav,Hi-hat,0.898875
d6854eb4.wav,Hi-hat,4.67475
52300f9b.wav,Hi-hat,1.152875
09a1cfd7.wav,Hi-hat,0.3053125
3aafb6ad.wav,Hi-hat,1.032875
493c247b.wav,Hi-hat,1.23
